id,search_keyword_groups,keyword_count,keyword_group
30043043,ความล่าช้าในการจ่ายสินไหม,1,1 Topic
30043098,ความล่าช้าในการจ่ายสินไหม,1,1 Topic
30049687,การยกเลิกกรมธรรม์,2,More than 1 topic
30049687,การปฏิเสธจ่ายสินไหม,2,More than 1 topic
30055843,ความล่าช้าในการจ่ายสินไหม,1,1 Topic
30081108,การยกเลิกกรมธรรม์,1,1 Topic
30089403,ค่าเบี้ยประกัน,1,1 Topic
30095215,ความล่าช้าในการจ่ายสินไหม,1,1 Topic
30102981,การปฏิเสธจ่ายสินไหม,1,1 Topic
30123346,ค่าเบี้ยประกัน,1,1 Topic
30124841,ความล่าช้าในการจ่ายสินไหม,1,1 Topic
30125668,การยกเลิกกรมธรรม์,2,More than 1 topic
30125668,ความล่าช้าในการจ่ายสินไหม,2,More than 1 topic
30125983,ความล่าช้าในการจ่ายสินไหม,1,1 Topic
30134871,ความล่าช้าในการจ่ายสินไหม,1,1 Topic
30163990,การยกเลิกกรมธรรม์,2,More than 1 topic
30163990,การปฏิเสธจ่ายสินไหม,2,More than 1 topic
30168920,การปฏิเสธจ่ายสินไหม,2,More than 1 topic
30168920,ความล่าช้าในการจ่ายสินไหม,2,More than 1 topic
30183302,ความล่าช้าในการจ่ายสินไหม,2,More than 1 topic
30183302,ค่าเบี้ยประกัน,2,More than 1 topic
30190568,การปฏิเสธจ่ายสินไหม,2,More than 1 topic
30190568,ค่าเบี้ยประกัน,2,More than 1 topic
30191812,การยกเลิกกรมธรรม์,1,1 Topic
30198542,การยกเลิกกรมธรรม์,1,1 Topic
30210077,ค่าเบี้ยประกัน,1,1 Topic
30211343,การปฏิเสธจ่ายสินไหม,1,1 Topic
30216660,การปฏิเสธจ่ายสินไหม,2,More than 1 topic
30216660,ค่าเบี้ยประกัน,2,More than 1 topic
30217636,การปฏิเสธจ่ายสินไหม,1,1 Topic
30217941,การยกเลิกกรมธรรม์,1,1 Topic
30219146,การยกเลิกกรมธรรม์,1,1 Topic
30220162,การปฏิเสธจ่ายสินไหม,1,1 Topic
30222377,การยกเลิกกรมธรรม์,1,1 Topic
30241507,การยกเลิกกรมธรรม์,2,More than 1 topic
30241507,ความล่าช้าในการจ่ายสินไหม,2,More than 1 topic
30242343,ความล่าช้าในการจ่ายสินไหม,1,1 Topic
30288943,การปฏิเสธจ่ายสินไหม,2,More than 1 topic
30288943,ความล่าช้าในการจ่ายสินไหม,2,More than 1 topic
30307093,ค่าเบี้ยประกัน,1,1 Topic
30307846,การยกเลิกกรมธรรม์,1,1 Topic
30313188,ความล่าช้าในการจ่ายสินไหม,1,1 Topic
30319241,การปฏิเสธจ่ายสินไหม,1,1 Topic
30324287,ค่าเบี้ยประกัน,1,1 Topic
30329609,การปฏิเสธจ่ายสินไหม,1,1 Topic
